"nrAuthors","year","Flesch","NDC","n"
"2",2012,10.9500843725358,12.8837660148348,2966
"2",2013,10.6222625422315,12.8949529452771,2869
"2",2014,10.4528575491642,12.9232309889325,2801
"2",2015,9.95322892632698,12.9475360750361,2772
"3",1905,3.475,12.71,1
"3",1907,41.3107029468,10.82,1
"3",1908,27.1841983205,10.755,2
"3",1909,31.9432077403667,11.1533333333333,3
"3",1910,23.51394111155,11.24,2
"3",1911,28.052,11.51,1
"3",1912,22.2206768234429,11.2714285714286,7
"3",1913,25.4227343402167,11.6216666666667,6
"3",1914,30.4024935450545,11.1245454545455,11
"3",1915,22.8091741945467,12.098,15
"3",1916,22.6185793730769,11.6915384615385,13
"3",1917,25.4711966243429,11.5542857142857,7
"3",1918,18.1252432734875,11.77,8
"3",1919,34.6633293213667,10.9677777777778,9
"3",1920,24.9213998410625,11.52625,8
"3",1921,25.4872701783556,11.3533333333333,9
"3",1922,31.40583887551,11.665,10
"3",1923,31.8046783317625,11.2775,8
"3",1924,27.7905194614467,11.52,15
"3",1925,25.8218472861375,11.7275,8
"3",1926,26.5313335555889,11.7655555555556,9
"3",1927,16.7558561850667,11.9708333333333,12
"3",1928,30.5887628113,11.415,14
"3",1929,23.4217861139895,12.0157894736842,19
"3",1930,30.108479037925,11.41875,16
"3",1931,25.5510804943333,11.76,15
"3",1932,26.0557275239656,11.86875,32
"3",1933,23.5195567432929,12.2928571428571,14
"3",1934,20.9217643691304,11.8286956521739,23
"3",1935,28.4518144371462,11.4830769230769,13
"3",1936,21.566883927808,11.8656,25
"3",1937,19.3238570185125,11.89125,16
"3",1938,24.081424222937,11.7281481481481,27
"3",1939,16.013818384,12.3646666666667,15
"3",1940,24.06477102345,11.9604545454545,22
"3",1941,18.4127568375667,12.1977777777778,18
"3",1942,19.6787184269211,11.8931578947368,19
"3",1943,17.9308208826684,12.1047368421053,19
"3",1944,17.3965526464115,12.1619230769231,26
"3",1945,20.9267989637853,11.9529411764706,34
"3",1946,20.5721195986615,11.9430769230769,26
"3",1947,22.3009359788852,12.067037037037,27
"3",1948,20.2004374491133,11.856,15
"3",1949,19.1829934602214,12.0814285714286,14
"3",1950,16.0019079700545,12.2204545454545,22
"3",1951,20.6745617212955,12.1586363636364,22
"3",1952,24.17078801669,11.933,20
"3",1953,21.5771273384759,12.1386206896552,29
"3",1954,19.7912036710476,12.1219047619048,21
"3",1955,18.3932966868714,12.3265714285714,35
"3",1956,19.2210505243167,12.2254166666667,24
"3",1957,12.3920396728615,12.6065384615385,26
"3",1958,18.9633217891436,12.2628205128205,39
"3",1959,18.67901522357,12.1936666666667,90
"3",1960,16.522406864485,12.2752,100
"3",1961,14.916763137479,12.3536974789916,119
"3",1962,19.9980036604407,12.2892142857143,140
"3",1963,16.8990410195318,12.42466367713,223
"3",1964,17.5238110653339,12.4357976653697,257
"3",1965,18.4604985748762,12.3776211453744,227
"3",1966,15.0427461076222,12.5291851851852,270
"3",1967,16.4992542808286,12.4865317919075,346
"3",1968,15.7216369550476,12.533125,368
"3",1969,13.9771694419056,12.6136597110754,623
"3",1970,16.7311883281936,12.4879347826087,644
"3",1971,15.6208057135632,12.4926657263752,709
"3",1972,14.6208657232536,12.5564362336114,839
"3",1973,15.9317037088551,12.5396953642384,755
"3",1974,14.0574308088319,12.6831414868106,834
"3",1975,15.8794760057085,12.509349112426,1521
"3",1976,15.5812639852358,12.4939740420272,1618
"3",1977,14.9997276478337,12.5444126241964,1711
"3",1978,14.6657853428717,12.5539308357349,1735
"3",1979,15.044831800246,12.5851716621253,1835
"3",1980,15.0065905382551,12.57796277666,1988
"3",1981,14.9489263761247,12.6123499491353,1966
"3",1982,14.7002864834649,12.6329648241206,1791
"3",1983,14.8841192010739,12.6104914232731,2157
"3",1984,15.0811577793716,12.6197126707489,2123
"3",1985,15.5665657995663,12.5834309623431,2151
"3",1986,15.3083726689003,12.6063555762949,2143
"3",1987,15.8312952026913,12.608413506013,2162
"3",1988,15.6652740172607,12.6322643171806,2270
"3",1989,15.4258699531853,12.6474510638298,2350
"3",1990,15.2854439889091,12.6463077575244,2359
"3",1991,14.6860739884543,12.6842166184374,2419
"3",1992,15.6590317696966,12.6706674473068,2562
"3",1993,15.1608660054731,12.6744483024691,2592
"3",1994,15.1369682821158,12.6836652460287,2581
"3",1995,14.7728114666542,12.7043564356436,2626
"3",1996,15.3514480223024,12.6592556019749,2633
"3",1997,14.3056866436259,12.6816060606061,2640
"3",1998,15.3011265309001,12.6456963315217,2944
"3",1999,14.7356308403527,12.6873565217391,2875
"3",2000,14.409346811364,12.699396495782,3082
"3",2001,13.9280738117924,12.7179332477535,3116
"3",2002,13.8573819657215,12.7293514036786,3099
"3",2003,13.6280427845656,12.7237773666358,3243
"3",2004,13.4579069382435,12.7411559633028,3270
"3",2005,12.7120906481242,12.7759279279279,3330
"3",2006,12.854727371219,12.77987699877,3252
"3",2007,12.434207460175,12.7824534360951,3114
"3",2008,12.3932879045687,12.8173223140496,3025
"3",2009,12.1638887225264,12.808193442623,3050
"3",2010,11.850663891331,12.8290915492958,2840
"3",2011,11.5883541746111,12.8267975830816,2648
"3",2012,11.2962398206697,12.8396846011132,2695
"3",2013,10.6222223964233,12.911639283047,2678
"3",2014,10.6532213589334,12.8776721186763,2629
"3",2015,10.1226260104407,12.8755547254389,2677
"4",1906,40.0734198403,10.39,1
"4",1916,43.9550607806,10.56,1
"4",1917,40.0979243164,10.2925,4
"4",1919,29.4253636364,11.29,1
"4",1920,35.55944808215,10.875,2
"4",1921,45.21182142125,11.265,2
"4",1922,39.2464780928,11.69,2
"4",1924,32.9601827364667,11.4866666666667,3
"4",1928,16.02277123918,12.158,5
"4",1929,6.14851800443333,12.3283333333333,6
"4",1930,23.7552505207167,11.1683333333333,6
"4",1931,24.7333386616,11.27,2
"4",1932,30.87308723226,11.754,5
"4",1933,21.76778917955,11.4975,4
"4",1934,15.88254584535,12.43,2
"4",1935,24.7988022950833,11.9233333333333,6
"4",1936,34.3744457762333,11.14,3
"4",1937,14.3082611349,12.6342857142857,7
"4",1938,30.0098662754,11.928,5
"4",1939,23.82826497312,11.356,5
"4",1940,22.2345686009111,11.69,9
"4",1941,25.45123894704,12.093,10
"4",1942,28.5380204804667,11.66,9
"4",1943,19.0692086653167,12.2333333333333,6
"4",1944,10.053890784775,12.50875,8
"4",1945,25.98940101845,12.2233333333333,18
"4",1946,22.2762790885733,12.3513333333333,15
"4",1947,21.97529685302,12.096,10
"4",1948,28.2447368421,11.78,1
"4",1949,15.7664710243,12.19,2
"4",1950,27.44134728946,11.705,10
"4",1951,17.7056943890375,12.63,8
"4",1952,24.912099582225,11.67,8
"4",1953,23.3672881210625,12.15125,8
"4",1954,25.2725873164533,11.938,15
"4",1955,17.94711655866,12.1973333333333,15
"4",1956,16.8211315821909,12.5518181818182,11
"4",1957,21.0940561295182,12.1245454545455,11
"4",1958,16.3619305463875,12.498125,16
"4",1959,17.2533947194871,12.3470967741935,31
"4",1960,13.1617325663359,12.7438461538462,39
"4",1961,16.1906628642125,12.19525,40
"4",1962,9.62090371235532,12.39,47
"4",1963,17.4110720477273,12.199696969697,66
"4",1964,16.9386187564291,12.3824050632911,79
"4",1965,15.2741563304784,12.3974226804124,97
"4",1966,14.1116465359591,12.7010752688172,93
"4",1967,14.5634633162755,12.5531288343558,163
"4",1968,17.5463242248864,12.4126635514019,214
"4",1969,14.772216794199,12.5777557755776,303
"4",1970,15.7231868930527,12.5981435643564,404
"4",1971,14.9233248561772,12.5695800524934,381
"4",1972,13.0226705717449,12.6630875576037,434
"4",1973,14.245925146866,12.6487794432548,467
"4",1974,13.9907436419478,12.6725918367347,490
"4",1975,14.4123836025816,12.5425851703407,998
"4",1976,15.6341324843185,12.5318015414258,1038
"4",1977,15.1707148511232,12.5804448398577,1124
"4",1978,14.5176631487509,12.5576718213058,1164
"4",1979,14.5612114451383,12.6486609907121,1292
"4",1980,14.2311991535343,12.651458478716,1433
"4",1981,14.7191378272909,12.6605886524823,1410
"4",1982,14.8812002251606,12.5770681348933,1453
"4",1983,14.9959957572713,12.6092339916218,1671
"4",1984,14.779681080149,12.6491733996271,1609
"4",1985,14.7056560515773,12.6309551886792,1696
"4",1986,14.6009648083558,12.6956040839478,1763
"4",1987,14.9867415091128,12.6425158684362,1733
"4",1988,15.0008943689532,12.6769342309684,1931
"4",1989,15.6963395687663,12.6419740129935,2001
"4",1990,15.2302667277092,12.6873326867119,2062
"4",1991,14.609677037652,12.7192185370286,2201
"4",1992,14.5860831151661,12.7386567164179,2211
"4",1993,14.6143703507285,12.7501474304971,2374
"4",1994,14.9207618344305,12.7233579033579,2442
"4",1995,14.2788288846712,12.7602970711297,2390
"4",1996,15.0063584804789,12.722382642998,2535
"4",1997,15.12296150078,12.7091536301645,2493
"4",1998,14.4857034959752,12.7234117647059,2635
"4",1999,14.7032664569055,12.703587954462,2723
"4",2000,14.21375877702,12.7161423090338,2867
"4",2001,14.5787673755461,12.7102344296711,2858
"4",2002,14.2766455828814,12.7372328951803,2967
"4",2003,13.8612936611097,12.7523383905013,3032
"4",2004,13.6296474326854,12.756265884653,3069
"4",2005,14.0923674921752,12.7516375,3200
"4",2006,12.8847121522583,12.8124623444663,3054
"4",2007,12.7010191058189,12.8086544141779,3047
"4",2008,12.2770181124537,12.8405812372536,2942
"4",2009,12.4048322069863,12.8536865879083,2878
"4",2010,11.8839534178949,12.855700867052,2768
"4",2011,11.7302969045969,12.8485164394547,2494
"4",2012,11.8610829603184,12.8327027027027,2590
"4",2013,10.5013437882661,12.9037654798762,2584
"4",2014,10.6878413972159,12.8939119804401,2454
"4",2015,10.7672072952522,12.8811870196413,2342
"5",1916,32.0169918699,12.4,1
"5",1921,16.4916666667,12.87,1
"5",1929,11.0304054054,12.58,1
"5",1930,-10.2529487179,12.83,1
"5",1932,29.0053690227,11.83,2
"5",1936,58.2453296703,8.73,1
"5",1937,36.6865995763,12.14,1
"5",1939,42.2915424472,10.51,1
"5",1940,18.9681046138667,12.3733333333333,3
"5",1941,43.9366155419,11.19,1
"5",1942,23.48428692532,11.8,5
"5",1943,24.6117286387667,11.8933333333333,3
"5",1944,41.59464803075,10.325,2
"5",1945,17.75414253395,12.3625,4
"5",1946,13.8497593266,12.496,5
"5",1947,16.8275,12.74,1
"5",1948,20.760625,12.18,1
"5",1950,28.9189113741667,11.38,3
"5",1951,32.0919649123,11.03,1
"5",1952,13.7126471168333,12.67,3
"5",1953,22.1812284689,12.475,2
"5",1954,16.61608845305,12.2525,4
"5",1955,28.1126933976333,12.35,3
"5",1956,21.0008673706333,11.9616666666667,6
"5",1957,15.5045410628,12.46,1
"5",1958,44.11278100775,11.28,2
"5",1959,11.08997932258,12.701,10
"5",1960,10.6544224063429,12.6071428571429,7
"5",1961,15.2434721192538,12.4346153846154,13
"5",1962,7.41000503393077,12.7561538461538,13
"5",1963,15.2955534721316,12.4894736842105,19
"5",1964,18.7835071053905,12.3252380952381,21
"5",1965,15.267205991748,12.318,25
"5",1966,15.7862842159286,12.5911428571429,35
"5",1967,14.6544297280082,12.475737704918,61
"5",1968,14.4949332091824,12.5308108108108,74
"5",1969,16.4454317880301,12.3729268292683,123
"5",1970,15.3606564235264,12.6222972972973,148
"5",1971,14.9347424567405,12.5516993464052,153
"5",1972,14.3692819826046,12.5729743589744,195
"5",1973,13.6644165603398,12.6465277777778,216
"5",1974,12.9914401489602,12.7065254237288,236
"5",1975,14.5513782184408,12.5323440453686,529
"5",1976,14.9936355204845,12.5591325695581,611
"5",1977,14.1695823877908,12.5698104265403,633
"5",1978,14.578809235299,12.6214600550964,726
"5",1979,14.7832021225253,12.57488,750
"5",1980,14.5412271227732,12.6369560047562,841
"5",1981,15.0161468838979,12.6356388206388,814
"5",1982,14.1909087186501,12.7309649122807,912
"5",1983,14.1329903522357,12.6780613165014,1109
"5",1984,13.6224827288109,12.7059709153122,1169
"5",1985,13.9369077941352,12.7102551020408,1176
"5",1986,15.0689364700599,12.683560295324,1219
"5",1987,14.334657677548,12.7013236419281,1307
"5",1988,14.6268155055346,12.703712835388,1379
"5",1989,15.4793046010421,12.7058080451658,1417
"5",1990,14.8062294404654,12.7435563816605,1614
"5",1991,14.9296016508582,12.739441031941,1628
"5",1992,14.8828988463885,12.7008826815642,1790
"5",1993,14.4107633218891,12.735413811281,1897
"5",1994,14.355644633302,12.7523296354992,1893
"5",1995,14.4875011704366,12.7639499509323,2038
"5",1996,14.6579034764751,12.7489459084605,2163
"5",1997,14.4933857508393,12.764524929445,2126
"5",1998,14.7186334702238,12.7260205831904,2332
"5",1999,14.878816684003,12.7226076360682,2462
"5",2000,15.0505530245589,12.7201616628176,2598
"5",2001,13.993992678567,12.7743913894325,2555
"5",2002,13.8201840288609,12.7812964396285,2584
"5",2003,13.4667992114203,12.8090076628352,2610
"5",2004,13.2005607405707,12.827831920904,2832
"5",2005,13.4786708309146,12.8122622377622,2860
"5",2006,12.4229865831954,12.8718620689655,2755
"5",2007,12.4544636498051,12.8494766566265,2656
"5",2008,12.963099996549,12.8247213855422,2656
"5",2009,12.5024020836689,12.8473552780931,2643
"5",2010,11.9448451619047,12.8733450292398,2565
"5",2011,11.9983981113119,12.8742671691792,2388
"5",2012,11.4906446600598,12.9012591093117,2470
"5",2013,10.9243841356148,12.9438768430182,2306
"5",2014,10.6705513832284,12.9389661399549,2215
"5",2015,10.6036328898275,12.9531007104053,2393
"6",1950,4.8588536585,13.45,1
"6",1952,9.33900371805,12.725,2
"6",1955,48.597,11.12,1
"6",1956,26.14430493425,11.85,4
"6",1957,24.07492903774,12.488,5
"6",1958,11.2899038462,11.97,1
"6",1959,9.2384778708,11.955,4
"6",1960,13.5273395722,11.48,2
"6",1961,6.99942148726667,12.88,3
"6",1962,15.9583762561,12.395,4
"6",1963,15.6073487904143,12.1828571428571,7
"6",1964,10.3517585914,12.898,5
"6",1965,9.5246758629,12.6075,4
"6",1966,15.33647690555,12.41625,8
"6",1967,19.789014336225,12.421,20
"6",1968,10.3223295529323,12.4722580645161,31
"6",1969,19.1705058071024,12.4880952380952,42
"6",1970,15.2981944863815,12.3650769230769,65
"6",1971,16.4951314575419,12.4835135135135,74
"6",1972,16.0570197878236,12.5407865168539,89
"6",1973,16.9919133814,12.3898780487805,82
"6",1974,15.370600606041,12.6201904761905,105
"6",1975,15.3501210815797,12.4746610169492,236
"6",1976,15.9748633865601,12.5535620915033,306
"6",1977,13.5881980851914,12.6663103448276,290
"6",1978,13.2752184373908,12.6382222222222,360
"6",1979,14.4591428932605,12.6708533333333,375
"6",1980,14.1560067602126,12.7446501128668,443
"6",1981,16.3049568937479,12.5530192307692,520
"6",1982,14.8350158121803,12.6438273921201,533
"6",1983,14.9565347502351,12.662869955157,669
"6",1984,14.9575112996524,12.6330397727273,704
"6",1985,14.1009721099948,12.7078463476071,794
"6",1986,14.157865638606,12.7272161172161,819
"6",1987,14.0042145242964,12.7610121012101,909
"6",1988,14.3074549372806,12.7706813417191,954
"6",1989,14.7585514857997,12.7251026392962,1023
"6",1990,14.0749489990752,12.7719691470054,1102
"6",1991,14.5887082755834,12.7206305578011,1237
"6",1992,13.8967843056037,12.8243074581431,1314
"6",1993,14.7788754587504,12.7541810344828,1392
"6",1994,14.0324348627389,12.773109517601,1534
"6",1995,14.1832384094742,12.7792735312697,1583
"6",1996,13.987944291025,12.80747318236,1678
"6",1997,14.4039126315487,12.7616938300349,1718
"6",1998,14.0117079888021,12.7738662316476,1839
"6",1999,13.9954425730958,12.7823526287839,1883
"6",2000,14.234070699908,12.7623338185347,2061
"6",2001,14.5053123486314,12.7544972758791,2019
"6",2002,14.143387035039,12.7764558754129,2119
"6",2003,13.507342864442,12.8244539711191,2216
"6",2004,13.2419341800997,12.8252602389079,2344
"6",2005,13.0105568058465,12.834601659751,2410
"6",2006,12.7375222109776,12.8415583333333,2400
"6",2007,12.5615774708916,12.8625205361003,2313
"6",2008,12.1030949211422,12.8964651938308,2399
"6",2009,11.603921997151,12.9306681127983,2305
